providerGameId,league,date,homeTeam,awayTeam,pickTeamId,pickTeamName,confidence,edgeScore,winProbability,actualWinner,hit,seasonPhase,dataAvailability
158646,NPB,2024-02-23,Yomiuri Giants,Hanshin Tigers,home,Yomiuri Giants,21.5,0,50,home,1,early,0.2813
158647,NPB,2024-02-23,Chunichi Dragons,Hiroshima Carp,home,Chunichi Dragons,21.5,0,50,away,0,early,0.2813
158648,NPB,2024-02-24,Yakult Swallows,Hanshin Tigers,home,Yakult Swallows,21.8,0.4,50.4,home,1,early,0.5938
158649,NPB,2024-02-24,Nippon Ham Fighters,Yokohama BayStars,home,Nippon Ham Fighters,21.5,0,50,draw,,early,0.2813
158650,NPB,2024-02-24,Hiroshima Carp,Yomiuri Giants,home,Hiroshima Carp,38.9,5,55,away,0,early,0.9063
158651,NPB,2024-02-24,Chunichi Dragons,Rakuten Gold. Eagles,away,Rakuten Gold. Eagles,21.8,-0.4,50.4,away,1,early,0.5938
158652,NPB,2024-02-25,Yokohama BayStars,Rakuten Gold. Eagles,away,Rakuten Gold. Eagles,36.3,-6.4,56.4,home,0,early,0.9063
158653,NPB,2024-02-25,Chunichi Dragons,Hanshin Tigers,away,Hanshin Tigers,42.4,-5,55,home,0,early,0.9063
158654,NPB,2024-02-25,Yomiuri Giants,Yakult Swallows,home,Yomiuri Giants,29.1,0.4,50.4,away,0,early,0.9375
158655,NPB,2024-02-25,Nippon Ham Fighters,Hiroshima Carp,away,Hiroshima Carp,29.1,-5.7,55.7,home,0,early,0.9375
158656,NPB,2024-03-01,Rakuten Gold. Eagles,Hiroshima Carp,home,Rakuten Gold. Eagles,31.3,3.7,53.7,away,0,early,0.9375
158657,NPB,2024-03-02,Rakuten Gold. Eagles,Hiroshima Carp,away,Hiroshima Carp,49.9,-10,60,home,0,early,1
158658,NPB,2024-03-02,Fukuoka S. Hawks,Yokohama BayStars,away,Yokohama BayStars,21.8,-0.4,50.4,home,0,early,0.625
158659,NPB,2024-03-02,Chunichi Dragons,Yakult Swallows,away,Yakult Swallows,48.1,-13.6,63.6,away,1,early,0.9375
158660,NPB,2024-03-02,Nippon Ham Fighters,Hanshin Tigers,home,Nippon Ham Fighters,50,16.4,66.4,home,1,early,0.9063
158661,NPB,2024-03-03,Rakuten Gold. Eagles,Hiroshima Carp,home,Rakuten Gold. Eagles,45,2.7,52.7,away,0,early,1
158662,NPB,2024-03-03,Nippon Ham Fighters,Hanshin Tigers,home,Nippon Ham Fighters,60.5,18.1,68.1,home,1,early,0.9375
158663,NPB,2024-03-03,Chunichi Dragons,Yakult Swallows,away,Yakult Swallows,61.1,-18.9,68.9,draw,,early,0.9688
158664,NPB,2024-03-03,Orix Buffaloes,Yokohama BayStars,home,Orix Buffaloes,21.8,0.4,50.4,home,1,early,0.625
158665,NPB,2024-03-05,Yokohama BayStars,Chiba Lotte Marines,away,Chiba Lotte Marines,22,-0.7,50.8,draw,,early,0.625
158666,NPB,2024-03-05,Orix Buffaloes,Chunichi Dragons,home,Orix Buffaloes,43.8,12.5,62.5,away,0,early,0.9063
158667,NPB,2024-03-05,Fukuoka S. Hawks,Yakult Swallows,home,Fukuoka S. Hawks,38.1,7.3,57.3,home,1,early,0.9375
158668,NPB,2024-03-06,Orix Buffaloes,Chunichi Dragons,away,Chunichi Dragons,49.1,-6.2,56.2,draw,,early,0.9688
158669,NPB,2024-03-06,Yokohama BayStars,Chiba Lotte Marines,home,Yokohama BayStars,41.6,4.6,54.6,home,1,early,0.9688
158670,NPB,2024-03-06,Hanshin Tigers,Rakuten Gold. Eagles,away,Rakuten Gold. Eagles,41.8,-9.5,59.5,away,1,early,0.9375
158671,NPB,2024-03-06,Fukuoka S. Hawks,Yakult Swallows,home,Fukuoka S. Hawks,50.7,11.1,61.1,home,1,early,0.9688
158672,NPB,2024-03-07,Nippon Ham Fighters,Seibu Lions,home,Nippon Ham Fighters,22.3,1.1,51.1,home,1,early,0.5938
158673,NPB,2024-03-08,Chiba Lotte Marines,Fukuoka S. Hawks,away,Fukuoka S. Hawks,44.6,-13.7,63.7,home,0,early,0.9063
158674,NPB,2024-03-08,Hanshin Tigers,Yakult Swallows,away,Yakult Swallows,59.1,-15.8,65.8,away,1,early,1
158675,NPB,2024-03-08,Hiroshima Carp,Chunichi Dragons,home,Hiroshima Carp,39.8,3.4,53.4,away,0,early,1
158676,NPB,2024-03-08,Yokohama BayStars,Nippon Ham Fighters,away,Nippon Ham Fighters,46.8,-7.3,57.3,draw,,early,0.9688
158677,NPB,2024-03-08,Orix Buffaloes,Yomiuri Giants,away,Yomiuri Giants,45.8,-13.8,63.8,home,0,early,0.9375
155685,KBO,2024-03-09,Doosan Bears,Kiwoom Heroes,home,Doosan Bears,21.5,0,50,home,1,early,0.2813
155686,KBO,2024-03-09,NC Dinos,KIA Tigers,home,NC Dinos,21.5,0,50,away,0,early,0.2813
155687,KBO,2024-03-09,Hanwha Eagles,Samsung Lions,home,Hanwha Eagles,21.5,0,50,home,1,early,0.2813
155688,KBO,2024-03-09,Lotte Giants,SSG Landers,home,Lotte Giants,21.5,0,50,home,1,early,0.2813
155689,KBO,2024-03-09,KT Wiz Suwon,LG Twins,home,KT Wiz Suwon,21.5,0,50,away,0,early,0.2813
158678,NPB,2024-03-09,Yokohama BayStars,Seibu Lions,home,Yokohama BayStars,45.4,14,64,draw,,early,0.9375
158679,NPB,2024-03-09,Rakuten Gold. Eagles,Nippon Ham Fighters,away,Nippon Ham Fighters,24.5,-2,52,draw,,early,0.9688
158680,NPB,2024-03-09,Hiroshima Carp,Chunichi Dragons,away,Chunichi Dragons,43,-4.9,54.9,draw,,early,1
158681,NPB,2024-03-09,Hanshin Tigers,Yakult Swallows,away,Yakult Swallows,59,-15.7,65.7,away,1,early,1
158682,NPB,2024-03-09,Chiba Lotte Marines,Fukuoka S. Hawks,away,Fukuoka S. Hawks,39.3,-0.6,50.6,away,1,early,1
158683,NPB,2024-03-09,Orix Buffaloes,Yomiuri Giants,away,Yomiuri Giants,36.8,-0.1,50.1,home,0,early,0.9688
155690,KBO,2024-03-10,Doosan Bears,Kiwoom Heroes,home,Doosan Bears,61.8,20,70,home,1,early,0.9375
155691,KBO,2024-03-10,NC Dinos,KIA Tigers,away,KIA Tigers,61.8,-19.9,70,home,0,early,0.9375
155692,KBO,2024-03-10,Hanwha Eagles,Samsung Lions,home,Hanwha Eagles,61.8,20,70,away,0,early,0.9375
155693,KBO,2024-03-10,Lotte Giants,SSG Landers,home,Lotte Giants,61.8,20,70,home,1,early,0.9375
155694,KBO,2024-03-10,KT Wiz Suwon,LG Twins,away,LG Twins,61.8,-19.9,70,home,0,early,0.9375
158684,NPB,2024-03-10,Yokohama BayStars,Seibu Lions,home,Yokohama BayStars,57.5,13.4,63.4,away,0,early,0.9688
158685,NPB,2024-03-10,Rakuten Gold. Eagles,Nippon Ham Fighters,away,Nippon Ham Fighters,41.4,-3.7,53.7,home,0,early,1
158686,NPB,2024-03-10,Hiroshima Carp,Chunichi Dragons,away,Chunichi Dragons,48.8,-5.7,55.7,away,1,early,1
158687,NPB,2024-03-10,Hanshin Tigers,Yomiuri Giants,away,Yomiuri Giants,59.5,-16.4,66.4,away,1,early,1
158688,NPB,2024-03-10,Chiba Lotte Marines,Fukuoka S. Hawks,away,Fukuoka S. Hawks,55.1,-9.8,59.8,draw,,early,1
158689,NPB,2024-03-10,Orix Buffaloes,Yakult Swallows,home,Orix Buffaloes,23.9,0.4,50.4,home,1,early,0.9375
155695,KBO,2024-03-11,Hanwha Eagles,KIA Tigers,away,KIA Tigers,35.2,-2.9,52.9,away,1,early,0.9063
155696,KBO,2024-03-11,KT Wiz Suwon,SSG Landers,home,KT Wiz Suwon,41.5,12.4,62.4,away,0,early,0.9063
155697,KBO,2024-03-11,Lotte Giants,Doosan Bears,home,Lotte Giants,38.9,5,55,away,0,early,0.9063
155698,KBO,2024-03-11,NC Dinos,Kiwoom Heroes,home,NC Dinos,45.8,10.2,60.2,home,1,early,0.9063
155699,KBO,2024-03-11,Samsung Lions,LG Twins,home,Samsung Lions,28.9,0,50,away,0,early,0.9063
155700,KBO,2024-03-12,Samsung Lions,LG Twins,away,LG Twins,57.6,-13.6,63.6,away,1,early,0.9688
155701,KBO,2024-03-12,NC Dinos,Kiwoom Heroes,home,NC Dinos,61.3,19.2,69.2,home,1,early,0.9375
155702,KBO,2024-03-12,KT Wiz Suwon,SSG Landers,away,SSG Landers,44,-1.2,51.2,home,0,early,0.9375
155703,KBO,2024-03-12,Hanwha Eagles,KIA Tigers,away,KIA Tigers,58.3,-14.7,64.7,home,0,early,0.9375
158690,NPB,2024-03-12,Seibu Lions,Chunichi Dragons,away,Chunichi Dragons,39.2,-5.6,55.6,home,0,early,0.9375
158691,NPB,2024-03-12,Fukuoka S. Hawks,Yomiuri Giants,home,Fukuoka S. Hawks,34.6,5.6,55.6,home,1,early,0.9688
158692,NPB,2024-03-12,Nippon Ham Fighters,Hiroshima Carp,home,Nippon Ham Fighters,49.4,9.2,59.2,draw,,early,1
158693,NPB,2024-03-13,Yokohama BayStars,Yakult Swallows,away,Yakult Swallows,34.1,-3.4,53.4,home,0,early,0.9688
158694,NPB,2024-03-13,Seibu Lions,Chunichi Dragons,home,Seibu Lions,47.6,6.6,56.6,home,1,early,1
158695,NPB,2024-03-13,Rakuten Gold. Eagles,Orix Buffaloes,away,Orix Buffaloes,23,-1.2,51.2,away,1,early,0.9375
158696,NPB,2024-03-13,Chiba Lotte Marines,Hanshin Tigers,home,Chiba Lotte Marines,39.4,9.2,59.2,away,0,early,0.9688
158697,NPB,2024-03-13,Nippon Ham Fighters,Hiroshima Carp,home,Nippon Ham Fighters,47.3,6,56,away,0,early,1
158698,NPB,2024-03-13,Fukuoka S. Hawks,Yomiuri Giants,home,Fukuoka S. Hawks,50.8,11.3,61.3,away,0,early,1
155705,KBO,2024-03-14,Doosan Bears,KIA Tigers,home,Doosan Bears,49.1,15.1,65.1,home,1,early,0.9375
155706,KBO,2024-03-14,Hanwha Eagles,KT Wiz Suwon,home,Hanwha Eagles,36.7,1.8,51.8,home,1,early,0.9063
155707,KBO,2024-03-14,NC Dinos,LG Twins,home,NC Dinos,33.5,0.4,50.4,home,1,early,0.9063
155708,KBO,2024-03-14,Samsung Lions,Lotte Giants,away,Lotte Giants,42.7,-10.9,60.9,away,1,early,0.9375
155709,KBO,2024-03-14,SSG Landers,Kiwoom Heroes,home,SSG Landers,31.9,4.7,54.7,away,0,early,0.9063
158699,NPB,2024-03-14,Nippon Ham Fighters,Hiroshima Carp,away,Hiroshima Carp,41.5,-2.6,52.6,draw,,early,1
158700,NPB,2024-03-14,Fukuoka S. Hawks,Yomiuri Giants,home,Fukuoka S. Hawks,42.9,2.8,52.8,home,1,early,1
