edgeMin,confidenceMin,recommendedGames,recommendRate,hits,misses,accuracy,kboAccuracy,npbAccuracy,kboSample,npbSample,avgAbsEdgeScore,avgConfidence,sampleAtLeast100,accuracyAtLeast57,recommendRateAtLeast5,allGatesPassed
7.5,0,358,20.97,204,154,56.98,57.31,56.68,171,187,10.93,53.75,true,false,true,false
7.5,50,283,16.58,162,121,57.24,56.39,58,133,150,11.25,55.53,true,true,true,true
7.5,52,266,15.58,150,116,56.39,54.84,57.75,124,142,11.33,55.83,true,false,true,false
7.5,55,160,9.37,93,67,58.13,55.88,59.78,68,92,12.93,57.07,true,true,true,true
7.5,60,17,1,9,8,52.94,53.33,50,15,2,18.87,61.07,false,false,false,false
10,0,190,11.13,115,75,60.53,61.8,59.41,89,101,12.99,55.5,true,true,true,true
10,50,167,9.78,101,66,60.48,60.53,60.44,76,91,13.03,56.67,true,true,true,true
10,52,159,9.31,94,65,59.12,58.33,59.77,72,87,13.08,56.97,true,true,true,true
10,55,149,8.73,87,62,58.39,56.25,60,64,85,13.16,57.22,true,true,true,true
10,60,17,1,9,8,52.94,53.33,50,15,2,18.87,61.07,false,false,false,false
12.5,0,90,5.27,53,37,58.89,57.78,60,45,45,15.08,56.85,false,true,true,false
12.5,50,78,4.57,46,32,58.97,55,63.16,40,38,15.24,58.28,false,true,false,false
12.5,52,77,4.51,45,32,58.44,55,62.16,40,37,15.22,58.39,false,true,false,false
12.5,55,75,4.39,43,32,57.33,52.63,62.16,38,37,15.23,58.54,false,true,false,false
12.5,60,17,1,9,8,52.94,53.33,50,15,2,18.87,61.07,false,false,false,false
15,0,39,2.28,25,14,64.1,62.96,66.67,27,12,17.19,58.66,false,true,false,false
15,50,36,2.11,22,14,61.11,60,63.64,25,11,17.33,59.44,false,true,false,false
15,52,35,2.05,21,14,60,60,60,25,10,17.35,59.71,false,true,false,false
15,55,34,1.99,20,14,58.82,58.33,60,24,10,17.38,59.91,false,true,false,false
15,60,17,1,9,8,52.94,53.33,50,15,2,18.87,61.07,false,false,false,false
